--- Startup times for process: Primary (or UI client) ---

times in msec
 clock   self+sourced   self:  sourced script
 clock   elapsed:              other lines

000.000  000.000: --- NVIM STARTING ---
000.094  000.094: event init
000.282  000.188: early init
000.659  000.377: locale set
000.688  000.028: init first window
001.082  000.395: inits 1
001.093  000.010: window checked
001.096  000.003: parsing arguments
001.510  000.035  000.035: require('vim._core.shared')
001.566  000.003  000.003: require('string.buffer')
001.583  000.032  000.029: require('vim.inspect')
001.618  000.030  000.030: require('vim._core.options')
001.619  000.107  000.046: require('vim._core.editor')
001.663  000.043  000.043: require('vim._core.system')
001.665  000.231  000.045: require('vim._init_packages')
001.667  000.340: init lua interpreter
004.385  002.719: expanding arguments
004.420  000.034: inits 2
004.638  000.218: init highlight
004.677  000.039: clear screen
004.820  000.011  000.011: require('vim.keymap')
005.524  000.116  000.116: sourcing nvim_exec2()
005.583  000.007  000.007: require('vim._core.log')
005.711  001.030  000.896: require('vim._core.defaults')
005.713  000.006: init default mappings & autocommands
006.597  000.074  000.074: sourcing /opt/homebrew/Cellar/neovim/0.12.3/share/nvim/runtime/ftplugin.vim
006.725  000.020  000.020: sourcing /opt/homebrew/Cellar/neovim/0.12.3/share/nvim/runtime/indent.vim
007.286  000.326  000.326: require('config.options')
007.538  000.251  000.251: require('config.keymaps')
008.143  000.132  000.132: require('tokyonight.config')
008.144  000.343  000.211: require('tokyonight')
008.613  000.135  000.135: require('tokyonight.theme')
009.034  000.196  000.196: require('tokyonight.util')
009.035  000.346  000.150: require('tokyonight.colors')
009.642  000.373  000.373: require('tokyonight.hsluv')
009.983  000.191  000.191: require('tokyonight.groups')
011.299  002.876  001.831: sourcing /Users/rohan/.local/share/nvim/site/pack/plugins/start/tokyonight.nvim/colors/tokyonight-storm.lua
011.304  003.077  000.201: sourcing nvim_exec2() called at /Users/rohan/.config/nvim/init.lua:0
011.589  000.231  000.231: require('neo-tree')
011.977  000.383  000.383: require('neo-tree.log')
012.540  000.131  000.131: require('lualine_require')
012.754  000.724  000.593: require('lualine')
012.862  000.006  000.006: sourcing nvim_exec2() called at /Users/rohan/.config/nvim/init.lua:0
