--- Startup times for process: Primary (or UI client) ---

times in msec
 clock   self+sourced   self:  sourced script
 clock   elapsed:              other lines

000.000  000.000: --- NVIM STARTING ---
000.104  000.104: event init
000.284  000.180: early init
000.945  000.660: locale set
000.977  000.032: init first window
001.478  000.501: inits 1
001.492  000.014: window checked
001.497  000.005: parsing arguments
001.970  000.040  000.040: require('vim._core.shared')
002.027  000.002  000.002: require('string.buffer')
002.044  000.031  000.028: require('vim.inspect')
002.089  000.039  000.039: require('vim._core.options')
002.091  000.116  000.046: require('vim._core.editor')
002.141  000.049  000.049: require('vim._core.system')
002.142  000.241  000.036: require('vim._init_packages')
002.143  000.405: init lua interpreter
004.216  002.073: expanding arguments
004.229  000.013: inits 2
004.429  000.201: init highlight
004.456  000.027: clear screen
004.593  000.011  000.011: require('vim.keymap')
005.369  000.117  000.117: sourcing nvim_exec2()
005.391  000.003  000.003: require('vim._core.log')
005.467  001.008  000.877: require('vim._core.defaults')
005.468  000.004: init default mappings & autocommands
006.348  000.042  000.042: sourcing /opt/homebrew/Cellar/neovim/0.12.3/share/nvim/runtime/ftplugin.vim
006.494  000.021  000.021: sourcing /opt/homebrew/Cellar/neovim/0.12.3/share/nvim/runtime/indent.vim
006.910  000.218  000.218: require('config.options')
007.030  000.118  000.118: require('config.keymaps')
007.646  000.138  000.138: require('tokyonight.config')
007.648  000.332  000.193: require('tokyonight')
008.003  000.124  000.124: require('tokyonight.theme')
008.404  000.187  000.187: require('tokyonight.util')
008.406  000.326  000.139: require('tokyonight.colors')
008.914  000.357  000.357: require('tokyonight.hsluv')
009.270  000.170  000.170: require('tokyonight.groups')
010.548  002.692  001.713: sourcing /Users/rohan/.local/share/nvim/site/pack/plugins/start/tokyonight.nvim/colors/tokyonight-storm.lua
010.552  002.892  000.201: sourcing nvim_exec2() called at /Users/rohan/.config/nvim/init.lua:0
010.993  000.255  000.255: require('vim.ui')
010.996  000.348  000.093: require('dressing.patch')
010.997  000.443  000.096: require('dressing')
011.351  000.353  000.353: require('dressing.config')
011.600  000.146  000.146: require('neo-tree')
011.867  000.265  000.265: require('neo-tree.log')
