--- Startup times for process: Primary (or UI client) ---

times in msec
 clock   self+sourced   self:  sourced script
 clock   elapsed:              other lines

000.000  000.000: --- NVIM STARTING ---
000.066  000.066: event init
000.208  000.142: early init
000.517  000.309: locale set
000.543  000.026: init first window
000.929  000.386: inits 1
000.938  000.009: window checked
000.940  000.002: parsing arguments
001.433  000.039  000.039: require('vim._core.shared')
001.493  000.003  000.003: require('string.buffer')
001.511  000.034  000.032: require('vim.inspect')
001.552  000.033  000.033: require('vim._core.options')
001.554  000.118  000.050: require('vim._core.editor')
001.601  000.046  000.046: require('vim._core.system')
001.602  000.232  000.029: require('vim._init_packages')
001.605  000.433: init lua interpreter
003.148  001.543: expanding arguments
003.160  000.012: inits 2
003.365  000.205: init highlight
003.391  000.026: clear screen
003.519  000.011  000.011: require('vim.keymap')
004.201  000.112  000.112: sourcing nvim_exec2()
004.229  000.005  000.005: require('vim._core.log')
004.302  000.907  000.780: require('vim._core.defaults')
004.303  000.004: init default mappings & autocommands
005.184  000.046  000.046: sourcing /opt/homebrew/Cellar/neovim/0.12.3/share/nvim/runtime/ftplugin.vim
005.330  000.023  000.023: sourcing /opt/homebrew/Cellar/neovim/0.12.3/share/nvim/runtime/indent.vim
005.776  000.217  000.217: require('config.options')
006.048  000.271  000.271: require('config.keymaps')
006.711  000.141  000.141: require('tokyonight.config')
006.712  000.376  000.235: require('tokyonight')
007.184  000.135  000.135: require('tokyonight.theme')
007.651  000.219  000.219: require('tokyonight.util')
007.653  000.372  000.153: require('tokyonight.colors')
008.294  000.410  000.410: require('tokyonight.hsluv')
008.758  000.225  000.225: require('tokyonight.groups')
010.023  003.026  001.885: sourcing /Users/rohan/.local/share/nvim/site/pack/plugins/start/tokyonight.nvim/colors/tokyonight-storm.lua
010.028  003.250  000.223: sourcing nvim_exec2() called at /Users/rohan/.config/nvim/init.lua:0
010.285  000.213  000.213: require('neo-tree')
010.621  000.334  000.334: require('neo-tree.log')
011.189  000.139  000.139: require('lualine_require')
011.411  000.738  000.599: require('lualine')
011.535  000.009  000.009: sourcing nvim_exec2() called at /Users/rohan/.config/nvim/init.lua:0
